"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8067985"	"0.0295"	"0.00000121"	"-5.6551594"	"4.666214"	"-1.76764654"	"NCAM2"	"neural cell adhesion molecule 2"
"8020827"	"0.0295"	"0.00000274"	"-5.4071114"	"4.005051"	"-1.30267177"	"MEP1B"	"meprin A subunit beta"
"8002481"	"0.0295"	"0.00000301"	"-5.3785062"	"3.928833"	"-1.29769939"	"HYDIN2"	"HYDIN2, axonemal central pair apparatus protein (pseudogene)"
"8154836"	"0.0295"	"0.00000354"	"5.3294779"	"3.798237"	"0.74535186"	"ANXA2P2///ANXA2"	"annexin A2 pseudogene 2///annexin A2"
"7902265"	"0.0529"	"0.00000795"	"5.0832182"	"3.143468"	"0.52289508"	""	""
"7989335"	"0.0644"	"0.00001293"	"4.9338171"	"2.747762"	"0.72928613"	"ANXA2"	"annexin A2"
"7897801"	"0.0644"	"0.00001354"	"4.9197123"	"2.710484"	"1.49261872"	"RNU5E-1"	"RNA, U5E small nuclear 1"
"8021695"	"0.0681"	"0.00001646"	"-4.8594509"	"2.5514"	"-0.86349668"	"DOK6"	"docking protein 6"
"7949995"	"0.0681"	"0.00001879"	"4.8186821"	"2.443951"	"0.44489644"	"MRPL21"	"mitochondrial ribosomal protein L21"
"8085797"	"0.0681"	"0.00002044"	"-4.7924933"	"2.375009"	"-0.49062113"	"THRB"	"thyroid hormone receptor beta"
"8103769"	"0.0926"	"0.00003059"	"-4.6673193"	"2.046449"	"-0.68863564"	"HPGD"	"hydroxyprostaglandin dehydrogenase 15-(NAD)"
"7957221"	"0.0997"	"0.00003756"	"-4.6032567"	"1.878976"	"-1.12973446"	"TRHDE-AS1///TRHDE"	"TRHDE antisense RNA 1///thyrotropin releasing hormone degrading enzyme"
"8172191"	"0.0997"	"0.00004194"	"4.5687568"	"1.788997"	"0.46104728"	""	""
"7909999"	"0.0997"	"0.0000429"	"-4.5616613"	"1.77051"	"-0.31839031"	""	""
"8002492"	"0.0997"	"0.00004733"	"-4.5307878"	"1.690149"	"-1.59831277"	"HYDIN2///HYDIN"	"HYDIN2, axonemal central pair apparatus protein (pseudogene)///HYDIN, axonemal central pair apparatus protein"
"7948894"	"0.0997"	"0.00004846"	"4.5233718"	"1.670866"	"1.45452112"	"RNU2-1"	"RNA, U2 small nuclear 1"
"8100760"	"0.0997"	"0.00005097"	"-4.5075191"	"1.629669"	"-0.56797775"	"UGT2A3"	"UDP glucuronosyltransferase family 2 member A3"
"8002470"	"0.0997"	"0.00005388"	"-4.4900824"	"1.584398"	"-1.45608963"	"HYDIN2"	"HYDIN2, axonemal central pair apparatus protein (pseudogene)"
"8130578"	"0.1045"	"0.00005962"	"4.458159"	"1.501627"	"1.1928147"	"SNORA20"	"small nucleolar RNA, H/ACA box 20"
"7970999"	"0.1298"	"0.00007795"	"-4.3733788"	"1.282558"	"-0.58973009"	"SPG20"	"spastic paraplegia 20 (Troyer syndrome)"
"8139484"	"0.1355"	"0.00008593"	"4.3424295"	"1.202872"	"0.51355524"	"SNORA5C"	"small nucleolar RNA, H/ACA box 5C"
"7896106"	"0.1355"	"0.00008956"	"-4.3292752"	"1.169052"	"-0.52456345"	""	""
"7985777"	"0.142"	"0.00009806"	"4.300404"	"1.094927"	"0.38638992"	"ISG20"	"interferon stimulated exonuclease gene 20"
"8083233"	"0.15"	"0.00011152"	"-4.2593343"	"0.989735"	"-0.74434606"	"ZIC1"	"Zic family member 1"
"8047780"	"0.15"	"0.00011944"	"4.2373639"	"0.933588"	"0.88176923"	"SNORA41"	"small nucleolar RNA, H/ACA box 41"
"8135275"	"0.15"	"0.00012089"	"-4.2335134"	"0.923757"	"-0.67725747"	""	""
"8002446"	"0.15"	"0.00012162"	"-4.2315818"	"0.918826"	"-1.32539684"	"HYDIN"	"HYDIN, axonemal central pair apparatus protein"
"7934789"	"0.1672"	"0.00014378"	"-4.177841"	"0.781929"	"-0.76989398"	"GRID1"	"glutamate ionotropic receptor delta type subunit 1"
"8172086"	"0.1672"	"0.00014566"	"4.1736572"	"0.771294"	"0.78773534"	""	""
"7938291"	"0.188"	"0.00016936"	"4.1250451"	"0.647991"	"1.13010217"	"SNORA3A"	"small nucleolar RNA, H/ACA box 3A"
"8121782"	"0.1897"	"0.00018035"	"4.1047128"	"0.596561"	"0.67256026"	""	""
"7932453"	"0.1897"	"0.00018829"	"-4.0907462"	"0.561284"	"-0.5105356"	"NEBL"	"nebulette"
"7938293"	"0.1897"	"0.0001932"	"4.0824089"	"0.540245"	"0.56712741"	"SNORA3B"	"small nucleolar RNA, H/ACA box 3B"
"7956658"	"0.1897"	"0.00019882"	"4.0731103"	"0.516797"	"0.7322257"	"SLC16A7"	"solute carrier family 16 member 7"
"8064502"	"0.1897"	"0.00020041"	"4.0705269"	"0.510286"	"0.36582228"	"SNRPB"	"small nuclear ribonucleoprotein polypeptides B and B1"
"7951032"	"0.1897"	"0.00020751"	"4.0592111"	"0.481784"	"0.79549851"	"SNORA1"	"small nucleolar RNA, H/ACA box 1"
"7975760"	"0.1897"	"0.00021085"	"4.0540329"	"0.46875"	"0.27474968"	"EIF2B2"	"eukaryotic translation initiation factor 2B subunit beta"
"7949894"	"0.1958"	"0.00023249"	"4.0222354"	"0.388845"	"0.38345151"	""	""
"7895364"	"0.1958"	"0.00023317"	"-4.0212816"	"0.386452"	"-0.87252963"	""	""
"8048466"	"0.1958"	"0.00024289"	"4.0079629"	"0.353053"	"0.35985255"	""	""
"8004497"	"0.1958"	"0.0002571"	"3.9893822"	"0.306526"	"0.41212923"	"EIF4A1"	"eukaryotic translation initiation factor 4A1"
"8034698"	"0.1958"	"0.0002763"	"3.9658126"	"0.247621"	"0.74035354"	"MIR23A"	"microRNA 23a"
"8106504"	"0.1958"	"0.00027879"	"-3.9628815"	"0.240305"	"-0.54454193"	"BHMT"	"betaine--homocysteine S-methyltransferase"
"7957604"	"0.1958"	"0.00029192"	"3.9477922"	"0.202673"	"0.54734087"	""	""
"8107326"	"0.1958"	"0.00030214"	"3.9364912"	"0.174525"	"0.45684767"	"SNORA13"	"small nucleolar RNA, H/ACA box 13"
"7930454"	"0.1958"	"0.00030828"	"-3.9298769"	"0.158064"	"-0.34572281"	"PDCD4"	"programmed cell death 4 (neoplastic transformation inhibitor)"
"8142110"	"0.1958"	"0.00031055"	"3.9274637"	"0.152062"	"0.2674127"	"SYPL1"	"synaptophysin like 1"
"7953383"	"0.1958"	"0.00031526"	"3.9225209"	"0.139771"	"0.92182177"	"SCARNA10"	"small Cajal body-specific RNA 10"
"8139456"	"0.1958"	"0.00034454"	"3.8932653"	"0.067145"	"0.90548959"	"SNORA9///SNHG15"	"small nucleolar RNA, H/ACA box 9///small nucleolar RNA host gene 15"
"7919743"	"0.1958"	"0.00037427"	"3.8659319"	"-0.000516"	"0.50174275"	"ADAMTSL4-AS1///ADAMTSL4"	"ADAMTSL4 antisense RNA 1///ADAMTS like 4"
"8152115"	"0.1958"	"0.00037527"	"3.8650461"	"-0.002706"	"0.36267697"	""	""
"8046018"	"0.1958"	"0.00037564"	"-3.8647248"	"-0.0035"	"-1.13329704"	""	""
"8049297"	"0.1958"	"0.00037637"	"3.8640837"	"-0.005085"	"0.77063106"	"SCARNA5"	"small Cajal body-specific RNA 5"
"7955637"	"0.1958"	"0.00037765"	"3.8629555"	"-0.007873"	"0.57545015"	"KRT18"	"keratin 18"
"7969048"	"0.1958"	"0.00038427"	"3.857206"	"-0.022077"	"0.34861852"	""	""
"8107100"	"0.1958"	"0.00038555"	"3.8561082"	"-0.024788"	"0.45674375"	"RGMB"	"repulsive guidance molecule family member b"
"8073605"	"0.1958"	"0.0003868"	"3.8550386"	"-0.027429"	"0.25527824"	"BIK"	"BCL2 interacting killer"
"8123336"	"0.1958"	"0.00038716"	"3.8547287"	"-0.028194"	"0.30824427"	""	""
"7964292"	"0.1958"	"0.00039836"	"-3.845285"	"-0.0515"	"-0.4045778"	"RDH16"	"retinol dehydrogenase 16 (all-trans)"
"8108627"	"0.1958"	"0.00041496"	"3.8317443"	"-0.084877"	"1.18827314"	"VTRNA1-1"	"vault RNA 1-1"
"8019709"	"0.1958"	"0.00043281"	"3.8177588"	"-0.119299"	"1.00783671"	"RNU2-1"	"RNA, U2 small nuclear 1"
"8019802"	"0.1958"	"0.00043434"	"3.8165852"	"-0.122185"	"1.08715102"	"RNU2-1"	"RNA, U2 small nuclear 1"
"7922402"	"0.1958"	"0.00043434"	"3.8165832"	"-0.12219"	"0.50348247"	"GAS5///SNORD47"	"growth arrest specific 5 (non-protein coding)///small nucleolar RNA, C/D box 47"
"8150862"	"0.1958"	"0.0004364"	"3.8150107"	"-0.126057"	"0.64333504"	""	""
"8023561"	"0.1958"	"0.00045778"	"-3.7991059"	"-0.165129"	"-0.20005741"	"LMAN1"	"lectin, mannose binding 1"
"8136039"	"0.1958"	"0.00045852"	"3.798566"	"-0.166454"	"0.3434703"	"ATP6V1F"	"ATPase H+ transporting V1 subunit F"
"7953934"	"0.1958"	"0.00045971"	"3.7977024"	"-0.168574"	"0.21231758"	""	""
"8040465"	"0.1958"	"0.00046166"	"3.7962904"	"-0.172039"	"0.48038981"	""	""
"8124082"	"0.1958"	"0.00046368"	"3.7948357"	"-0.175608"	"0.60937406"	""	""
"7987097"	"0.1958"	"0.00046946"	"3.7907137"	"-0.185719"	"0.30356274"	"MIR211"	"microRNA 211"
"8019631"	"0.1958"	"0.00046992"	"3.7903828"	"-0.18653"	"1.00906147"	"RNU2-1"	"RNA, U2 small nuclear 1"
"8019633"	"0.1958"	"0.00046992"	"3.7903828"	"-0.18653"	"1.00906147"	"RNU2-1"	"RNA, U2 small nuclear 1"
