"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7893298"	"0.0565"	"0.00000241"	"5.83"	"4.27601"	"1.05604572"	""	""
"7965471"	"0.0565"	"0.00000339"	"5.71"	"3.99783"	"0.40977506"	"UBE2N"	"ubiquitin conjugating enzyme E2 N"
"7894916"	"0.0723"	"0.00000652"	"5.47"	"3.46364"	"0.66479553"	""	""
"8067985"	"0.0872"	"0.00001048"	"-5.30"	"3.07301"	"-1.76450416"	"NCAM2"	"neural cell adhesion molecule 2"
"7893992"	"0.0899"	"0.0000135"	"-5.21"	"2.86394"	"-1.60437016"	""	""
"7946812"	"0.0929"	"0.00001901"	"5.09"	"2.58081"	"0.54215658"	"RPS13"	"ribosomal protein S13"
"7973371"	"0.0929"	"0.00001954"	"5.08"	"2.55812"	"0.44280137"	"C14orf119"	"chromosome 14 open reading frame 119"
"7896378"	"0.1464"	"0.0000447"	"4.78"	"1.87094"	"0.79473538"	""	""
"7893001"	"0.1464"	"0.00004745"	"4.76"	"1.82126"	"0.49679029"	""	""
"8006634"	"0.1464"	"0.00004779"	"4.76"	"1.81534"	"0.55501454"	"PIGW"	"phosphatidylinositol glycan anchor biosynthesis class W"
"7951157"	"0.1464"	"0.00004835"	"-4.76"	"1.80567"	"-0.66319849"	"CCDC82"	"coiled-coil domain containing 82"
"7902227"	"0.1477"	"0.00005634"	"-4.70"	"1.67819"	"-0.52809872"	"GADD45A"	"growth arrest and DNA damage inducible alpha"
"8108435"	"0.1477"	"0.00006019"	"4.68"	"1.62308"	"0.28055958"	"UBE2D2"	"ubiquitin conjugating enzyme E2 D2"
"7893850"	"0.1477"	"0.000071"	"4.62"	"1.48539"	"0.61766769"	""	""
"7999360"	"0.1477"	"0.00007635"	"4.59"	"1.42475"	"0.50533452"	"RPL21P28///RPL21"	"ribosomal protein L21 pseudogene 28///ribosomal protein L21"
"7938368"	"0.1477"	"0.0000837"	"4.56"	"1.34805"	"0.54695345"	""	""
"8083233"	"0.1477"	"0.00009118"	"-4.53"	"1.27658"	"-0.94843202"	"ZIC1"	"Zic family member 1"
"7964292"	"0.1477"	"0.00010021"	"-4.50"	"1.19768"	"-0.5454918"	"RDH16"	"retinol dehydrogenase 16 (all-trans)"
"7895780"	"0.1477"	"0.00010295"	"4.49"	"1.17512"	"0.36753878"	""	""
"8163185"	"0.1477"	"0.00010407"	"4.48"	"1.16603"	"0.56129873"	"TXN"	"thioredoxin"
"7893573"	"0.1477"	"0.00010701"	"4.47"	"1.14281"	"0.88168703"	""	""
"7974418"	"0.1477"	"0.0001088"	"4.47"	"1.12889"	"0.36977235"	"CGRRF1"	"cell growth regulator with ring finger domain 1"
"7896094"	"0.1477"	"0.00011427"	"4.45"	"1.08793"	"0.5744363"	""	""
"7958666"	"0.1477"	"0.00011795"	"4.44"	"1.06141"	"0.32224001"	"GPN3///FAM216A"	"GPN-loop GTPase 3///family with sequence similarity 216 member A"
"7934789"	"0.1477"	"0.00012239"	"-4.42"	"1.03052"	"-1.02584973"	"GRID1"	"glutamate ionotropic receptor delta type subunit 1"
"8131661"	"0.1477"	"0.00012321"	"4.42"	"1.02491"	"0.42192117"	"RPL21P28///RPL21"	"ribosomal protein L21 pseudogene 28///ribosomal protein L21"
"7924144"	"0.1477"	"0.00012475"	"4.42"	"1.01456"	"0.42646815"	"RPL21P28///RPL21"	"ribosomal protein L21 pseudogene 28///ribosomal protein L21"
"8115666"	"0.1477"	"0.00013089"	"4.40"	"0.97438"	"0.3993407"	"NUDCD2"	"NudC domain containing 2"
"7895972"	"0.1477"	"0.00013207"	"4.40"	"0.96687"	"0.60577323"	""	""
"8106181"	"0.1477"	"0.00013742"	"4.38"	"0.93365"	"0.27622284"	"BTF3"	"basic transcription factor 3"
"7926223"	"0.1477"	"0.0001375"	"-4.38"	"0.93315"	"-0.53046552"	"CAMK1D"	"calcium/calmodulin dependent protein kinase ID"
