"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8107859"	"0.00976"	"3.78e-07"	"6.0003666"	"6.17284"	"0.39196477"	"LYRM7"	"LYR motif containing 7"
"8115666"	"0.00976"	"5.87e-07"	"5.8686679"	"5.78811"	"0.42784373"	"NUDCD2"	"NudC domain containing 2"
"8086555"	"0.02345"	"2.61e-06"	"5.418574"	"4.47462"	"0.43900325"	"LZTFL1"	"leucine zipper transcription factor like 1"
"8084215"	"0.02345"	"3.03e-06"	"-5.3737456"	"4.34417"	"-0.7693821"	""	""
"8097679"	"0.02345"	"4.47e-06"	"5.2560268"	"4.00216"	"0.36586608"	"LSM6"	"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated"
"7957467"	"0.02345"	"4.50e-06"	"5.2535461"	"3.99497"	"0.48742767"	"C12orf29///CEP290"	"chromosome 12 open reading frame 29///centrosomal protein 290"
"7946128"	"0.02345"	"4.93e-06"	"-5.2260554"	"3.91523"	"-0.40979538"	"FAM160A2"	"family with sequence similarity 160 member A2"
"7896378"	"0.02918"	"7.01e-06"	"5.1187771"	"3.60464"	"0.64635059"	""	""
"8131927"	"0.02953"	"8.14e-06"	"5.073293"	"3.47325"	"0.54813066"	"MPP6"	"membrane palmitoylated protein 6"
"7925585"	"0.02953"	"9.41e-06"	"-5.0288506"	"3.34506"	"-0.37539149"	"LOC101928068///EFCAB2"	"uncharacterized LOC101928068///EF-hand calcium binding domain 2"
"7893298"	"0.02953"	"1.00e-05"	"5.0094865"	"3.28927"	"0.72267755"	""	""
"8101143"	"0.02953"	"1.09e-05"	"4.984456"	"3.2172"	"0.31777677"	"NUP54"	"nucleoporin 54"
"8116012"	"0.02953"	"1.19e-05"	"-4.9571551"	"3.13868"	"-0.41361549"	"MXD3"	"MAX dimerization protein 3"
"8131438"	"0.02953"	"1.24e-05"	"-4.9438536"	"3.10045"	"-0.48162417"	""	""
"8078173"	"0.0325"	"1.51e-05"	"4.8844264"	"2.9299"	"0.4117451"	"OXNAD1"	"oxidoreductase NAD binding domain containing 1"
"8118498"	"0.0325"	"1.56e-05"	"-4.873354"	"2.89817"	"-0.56874342"	"CYP21A1P///CYP21A2"	"cytochrome P450 family 21 subfamily A member 1, pseudogene///cytochrome P450 family 21 subfamily A member 2"
"8045857"	"0.03307"	"1.70e-05"	"-4.8468989"	"2.82242"	"-0.46756624"	""	""
"7952069"	"0.03307"	"1.98e-05"	"4.8000853"	"2.6886"	"0.38561641"	"IFT46"	"intraflagellar transport 46"
"8001782"	"0.03307"	"2.20e-05"	"4.7676933"	"2.59617"	"0.29513465"	"RPS27A"	"ribosomal protein S27a"
"7947221"	"0.03307"	"2.20e-05"	"4.7673088"	"2.59507"	"0.49474391"	"LIN7C"	"lin-7 homolog C, crumbs cell polarity complex component"
"7901895"	"0.03307"	"2.31e-05"	"4.7518696"	"2.55107"	"0.43006272"	"ATG4C"	"autophagy related 4C cysteine peptidase"
"8168087"	"0.03307"	"2.32e-05"	"4.7511471"	"2.54901"	"0.38274113"	"IGBP1"	"immunoglobulin (CD79A) binding protein 1"
"7971563"	"0.03307"	"2.39e-05"	"4.7418992"	"2.52267"	"0.29277426"	"PCNP"	"PEST proteolytic signal containing nuclear protein"
"8042052"	"0.03307"	"2.55e-05"	"4.7213995"	"2.46433"	"0.26889418"	"RPS27A"	"ribosomal protein S27a"
"7957161"	"0.03307"	"2.62e-05"	"4.7132683"	"2.4412"	"0.45926971"	"THAP2"	"THAP domain containing 2"
"7943297"	"0.03307"	"2.70e-05"	"4.7045341"	"2.41637"	"0.44843579"	"CEP57"	"centrosomal protein 57"
"8178177"	"0.03307"	"2.86e-05"	"-4.6860284"	"2.3638"	"-0.58161541"	"CYP21A1P///CYP21A2"	"cytochrome P450 family 21 subfamily A member 1, pseudogene///cytochrome P450 family 21 subfamily A member 2"
"8179440"	"0.03307"	"2.86e-05"	"-4.6860284"	"2.3638"	"-0.58161541"	"CYP21A1P///CYP21A2"	"cytochrome P450 family 21 subfamily A member 1, pseudogene///cytochrome P450 family 21 subfamily A member 2"
"8106181"	"0.03307"	"2.88e-05"	"4.6838709"	"2.35768"	"0.22827829"	"BTF3"	"basic transcription factor 3"
"8143605"	"0.03595"	"3.27e-05"	"4.6442134"	"2.24521"	"0.43349198"	"TCAF1"	"TRPM8 channel associated factor 1"
"7917148"	"0.03595"	"3.35e-05"	"4.6371167"	"2.22511"	"0.43826844"	"AIDA"	"axin interactor, dorsalization associated"
"8044745"	"0.03802"	"3.65e-05"	"4.6097889"	"2.14778"	"0.35881018"	"DDX18"	"DEAD-box helicase 18"
"8113064"	"0.04119"	"4.19e-05"	"4.5668802"	"2.02661"	"0.45463539"	"LYSMD3"	"LysM domain containing 3"
"8088526"	"0.04119"	"4.32e-05"	"4.5570699"	"1.99895"	"0.41143069"	"THOC7"	"THO complex 7"
"8078008"	"0.04119"	"4.59e-05"	"4.5384793"	"1.94658"	"0.43370003"	"LSM3"	"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
"7917482"	"0.04119"	"4.80e-05"	"4.5242638"	"1.90658"	"0.35162436"	"RBMXL1///KYAT3"	"RNA binding motif protein, X-linked like 1///kynurenine aminotransferase 3"
"8057045"	"0.04119"	"4.83e-05"	"4.5225742"	"1.90183"	"0.35218554"	"FKBP7"	"FK506 binding protein 7"
"7977497"	"0.04119"	"4.88e-05"	"4.5195033"	"1.89319"	"0.45995069"	"CCNB1IP1"	"cyclin B1 interacting protein 1"
"7895994"	"0.04119"	"4.88e-05"	"4.5189707"	"1.89169"	"0.3847311"	""	""
"7978838"	"0.04119"	"5.06e-05"	"4.5075561"	"1.85961"	"0.40182114"	"DNAAF2"	"dynein axonemal assembly factor 2"
"7897801"	"0.04119"	"5.19e-05"	"-4.500077"	"1.8386"	"-1.60824666"	"RNU5E-1"	"RNA, U5E small nuclear 1"
"8112458"	"0.04119"	"5.24e-05"	"4.4970988"	"1.83024"	"0.30647861"	"AK6///TAF9"	"adenylate kinase 6///TATA-box binding protein associated factor 9"
"7958000"	"0.04119"	"5.32e-05"	"4.4921521"	"1.81635"	"0.31908046"	"CHPT1"	"choline phosphotransferase 1"
"8084607"	"0.04211"	"5.75e-05"	"4.4674903"	"1.74718"	"0.2990838"	"SENP2"	"SUMO1/sentrin/SMT3 specific peptidase 2"
"8180410"	"0.04211"	"5.75e-05"	"4.4673852"	"1.74688"	"0.32850125"	"EIF3F"	"eukaryotic translation initiation factor 3 subunit F"
"8134079"	"0.04211"	"5.87e-05"	"4.4610007"	"1.729"	"0.42913108"	"GTPBP10"	"GTP binding protein 10"
"7902512"	"0.04211"	"5.94e-05"	"4.4571731"	"1.71827"	"0.49229758"	"DNAJB4"	"DnaJ heat shock protein family (Hsp40) member B4"
"8151935"	"0.04262"	"7.43e-05"	"4.3865561"	"1.52099"	"0.25122573"	"RPL30"	"ribosomal protein L30"
"8059393"	"0.04262"	"7.43e-05"	"4.3865454"	"1.52096"	"0.35700384"	"CUL3"	"cullin 3"
"8109222"	"0.04262"	"7.53e-05"	"4.3823179"	"1.50918"	"0.33980344"	"RPL7"	"ribosomal protein L7"
"8141024"	"0.04262"	"7.66e-05"	"4.3769315"	"1.49418"	"0.47386743"	"BET1"	"Bet1 golgi vesicular membrane trafficking protein"
"8019709"	"0.04262"	"7.78e-05"	"-4.3722411"	"1.48112"	"-1.19293323"	"RNU2-1"	"RNA, U2 small nuclear 1"
"8180324"	"0.04262"	"7.78e-05"	"4.3720282"	"1.48052"	"0.39897302"	"THAP5"	"THAP domain containing 5"
"8147375"	"0.04262"	"8.30e-05"	"4.3517502"	"1.42412"	"0.47942721"	"DPY19L4"	"dpy-19 like 4 (C. elegans)"
"7975676"	"0.04262"	"8.60e-05"	"4.340214"	"1.39206"	"0.33664221"	"BBOF1///ALDH6A1"	"basal body orientation factor 1///aldehyde dehydrogenase 6 family member A1"
"7960861"	"0.04262"	"8.70e-05"	"-4.3368829"	"1.38281"	"-0.4393548"	""	""
"8092321"	"0.04262"	"8.70e-05"	"4.3365521"	"1.38189"	"0.47582472"	"DCUN1D1"	"defective in cullin neddylation 1 domain containing 1"
"7892623"	"0.04262"	"8.72e-05"	"4.3360535"	"1.38051"	"0.49183405"	""	""
"8180395"	"0.04262"	"8.81e-05"	"4.3327015"	"1.3712"	"0.38592979"	""	""
"7893850"	"0.04262"	"8.90e-05"	"4.3296238"	"1.36266"	"0.48722801"	""	""
"7894916"	"0.04262"	"9.05e-05"	"4.3241285"	"1.34742"	"0.40665343"	""	""
"8180287"	"0.04262"	"9.12e-05"	"4.3217986"	"1.34095"	"0.25625286"	"RPL31"	"ribosomal protein L31"
"7941985"	"0.04262"	"9.12e-05"	"-4.3217545"	"1.34083"	"-0.43975221"	"TCIRG1"	"T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3"
"7926916"	"0.04262"	"9.33e-05"	"4.3146531"	"1.32114"	"0.30611417"	"ZEB1"	"zinc finger E-box binding homeobox 1"
"8180407"	"0.04262"	"9.45e-05"	"4.3105038"	"1.30964"	"0.26912669"	"NPM1"	"nucleophosmin"
"7916789"	"0.04262"	"9.50e-05"	"4.3088204"	"1.30498"	"0.38612058"	"WDR78"	"WD repeat domain 78"
"8124406"	"0.04262"	"9.56e-05"	"4.3068562"	"1.29954"	"0.26306721"	"HIST1H2BC"	"histone cluster 1, H2bc"
"7894790"	"0.04262"	"9.59e-05"	"4.3058262"	"1.29668"	"0.51957777"	""	""
"8126770"	"0.04262"	"9.63e-05"	"4.3044423"	"1.29285"	"0.46293607"	"CYP39A1"	"cytochrome P450 family 39 subfamily A member 1"
"8054762"	"0.04262"	"1.02e-04"	"4.2865638"	"1.24336"	"0.21858707"	"RPL23AP82///RPL23AP7"	"ribosomal protein L23a pseudogene 82///ribosomal protein L23a pseudogene 7"
"7993108"	"0.04262"	"1.02e-04"	"-4.2854708"	"1.24034"	"-0.37447616"	""	""
"8035648"	"0.04262"	"1.03e-04"	"-4.2827052"	"1.23269"	"-0.57379233"	"TM6SF2"	"transmembrane 6 superfamily member 2"
"8052934"	"0.04262"	"1.03e-04"	"4.2826299"	"1.23249"	"0.29010467"	"MCEE"	"methylmalonyl-CoA epimerase"
"7911458"	"0.04262"	"1.04e-04"	"-4.2805919"	"1.22685"	"-0.41192903"	"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"7989013"	"0.04262"	"1.05e-04"	"4.2770466"	"1.21705"	"0.45695703"	"RSL24D1"	"ribosomal L24 domain containing 1"
"7988605"	"0.04262"	"1.05e-04"	"4.2753733"	"1.21243"	"0.45054722"	"COPS2"	"COP9 signalosome subunit 2"
"7896544"	"0.04262"	"1.08e-04"	"4.2691616"	"1.19527"	"0.42733731"	""	""
"8019802"	"0.04262"	"1.12e-04"	"-4.2564992"	"1.16031"	"-1.25806676"	"RNU2-1"	"RNA, U2 small nuclear 1"
"7893420"	"0.04262"	"1.12e-04"	"4.2562812"	"1.15971"	"0.67092927"	""	""
"7909586"	"0.04262"	"1.13e-04"	"4.2523361"	"1.14883"	"0.42611721"	"PPP2R5A"	"protein phosphatase 2 regulatory subunit B'alpha"
