"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7928107"	"0.000714"	"2.15e-08"	"7.285623"	"8.32183"	"0.9236452"	"H2AFY2"	"H2A histone family member Y2"
"7946641"	"0.005601"	"3.47e-07"	"6.328599"	"6.03325"	"0.6451077"	"GALNT18"	"polypeptide N-acetylgalactosaminyltransferase 18"
"8022295"	"0.005601"	"6.62e-07"	"6.109871"	"5.49469"	"0.5907865"	"PIEZO2"	"piezo type mechanosensitive ion channel component 2"
"7990620"	"0.005601"	"6.73e-07"	"6.104297"	"5.4809"	"0.5212271"	"TSPAN3"	"tetraspanin 3"
"7964142"	"0.030587"	"4.59e-06"	"-5.45719"	"3.86402"	"-0.9057661"	"APOF"	"apolipoprotein F"
"7916526"	"0.034498"	"7.71e-06"	"-5.282914"	"3.42471"	"-0.4601653"	"C8B"	"complement component 8, beta polypeptide"
"8005785"	"0.034498"	"8.21e-06"	"5.261989"	"3.37191"	"0.4676403"	"KSR1"	"kinase suppressor of ras 1"
"7934789"	"0.034498"	"8.90e-06"	"5.234514"	"3.30256"	"1.2053048"	"GRID1"	"glutamate ionotropic receptor delta type subunit 1"
"8103226"	"0.034498"	"9.32e-06"	"5.218979"	"3.26335"	"1.550671"	"TMEM154"	"transmembrane protein 154"
"8079117"	"0.038232"	"1.20e-05"	"-5.134464"	"3.04996"	"-0.7211879"	"ACKR2"	"atypical chemokine receptor 2"
"7926223"	"0.038232"	"1.26e-05"	"5.116788"	"3.00532"	"0.59309"	"CAMK1D"	"calcium/calmodulin dependent protein kinase ID"
"8066822"	"0.047279"	"1.74e-05"	"5.008482"	"2.73183"	"0.9675584"	"SULF2"	"sulfatase 2"
"8022310"	"0.047279"	"2.29e-05"	"4.915703"	"2.49762"	"0.5320221"	"PIEZO2"	"piezo type mechanosensitive ion channel component 2"
"8165680"	"0.047279"	"2.35e-05"	"-4.907245"	"2.47628"	"-0.6875916"	""	""
"7935679"	"0.047279"	"2.36e-05"	"-4.906031"	"2.47322"	"-0.5858833"	"CPN1"	"carboxypeptidase N subunit 1"
"7933933"	"0.047279"	"2.41e-05"	"-4.899342"	"2.45634"	"-0.6360479"	"DNAJC12"	"DnaJ heat shock protein family (Hsp40) member C12"
"8101648"	"0.047279"	"2.41e-05"	"-4.89819"	"2.45344"	"-0.6021239"	"HSD17B11"	"hydroxysteroid 17-beta dehydrogenase 11"
"7905043"	"0.047689"	"2.58e-05"	"4.875944"	"2.39731"	"0.4553705"	""	""
"8084923"	"0.048275"	"2.78e-05"	"4.850174"	"2.33232"	"1.0800557"	"LINC00885"	"long intergenic non-protein coding RNA 885"
"8013015"	"0.048275"	"3.01e-05"	"-4.823564"	"2.26523"	"-0.4939453"	"CENPV"	"centromere protein V"
"8165684"	"0.048275"	"3.04e-05"	"-4.819631"	"2.25531"	"-0.9601798"	""	""
"7934278"	"0.049999"	"3.34e-05"	"-4.788703"	"2.17737"	"-1.3783396"	"P4HA1"	"prolyl 4-hydroxylase subunit alpha 1"
"8162586"	"0.049999"	"3.94e-05"	"-4.73196"	"2.03446"	"-0.3323654"	"SLC35D2"	"solute carrier family 35 member D2"
"7916225"	"0.049999"	"4.03e-05"	"-4.724528"	"2.01576"	"-0.5557422"	"RPS13"	"ribosomal protein S13"
"8136934"	"0.049999"	"4.09e-05"	"4.719556"	"2.00324"	"0.4727316"	"TAS2R41"	"taste 2 receptor member 41"
"8140620"	"0.049999"	"4.10e-05"	"4.719103"	"2.0021"	"0.395561"	"PCLO"	"piccolo presynaptic cytomatrix protein"
"7949995"	"0.049999"	"4.25e-05"	"-4.706198"	"1.96963"	"-0.454013"	"MRPL21"	"mitochondrial ribosomal protein L21"
