"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7933933"	"0.0000311"	"9.35e-10"	"-7.639434"	"11.83145"	"-0.6667331"	"DNAJC12"	"DnaJ heat shock protein family (Hsp40) member C12"
"7931168"	"0.00011"	"6.61e-09"	"-7.074305"	"10.05815"	"-0.6565633"	"ACADSB"	"acyl-CoA dehydrogenase, short/branched chain"
"8122773"	"0.0001567"	"1.41e-08"	"6.855911"	"9.367201"	"0.486504"	"MTHFD1L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like"
"7923426"	"0.0002413"	"3.57e-08"	"6.589414"	"8.521287"	"0.6635107"	"UBE2T"	"ubiquitin conjugating enzyme E2 T"
"7964142"	"0.0002413"	"3.62e-08"	"-6.585173"	"8.507807"	"-0.799243"	"APOF"	"apolipoprotein F"
"7972890"	"0.0002885"	"5.20e-08"	"-6.481529"	"8.178271"	"-0.5077568"	"GRTP1"	"growth hormone regulated TBC protein 1"
"7909568"	"0.0003606"	"8.12e-08"	"6.353482"	"7.770941"	"1.2657092"	"DTL"	"denticleless E3 ubiquitin protein ligase homolog"
"8061471"	"0.0003606"	"8.66e-08"	"6.334774"	"7.71142"	"0.8174812"	"GINS1"	"GINS complex subunit 1"
"8151532"	"0.000375"	"1.01e-07"	"6.289758"	"7.568193"	"1.4051833"	"FABP4"	"fatty acid binding protein 4"
"7993126"	"0.0004143"	"1.24e-07"	"-6.230779"	"7.380548"	"-0.373083"	"ABAT"	"4-aminobutyrate aminotransferase"
"8018731"	"0.0005419"	"2.57e-07"	"6.021744"	"6.715845"	"0.3535283"	"RHBDF2"	"rhomboid 5 homolog 2"
"8179228"	"0.0005419"	"2.73e-07"	"6.004505"	"6.661071"	"0.6787462"	"TCF19"	"transcription factor 19"
"8118086"	"0.0005419"	"2.79e-07"	"5.998228"	"6.641128"	"0.6730131"	"TCF19"	"transcription factor 19"
"8177947"	"0.0005419"	"2.79e-07"	"5.998228"	"6.641128"	"0.6730131"	"TCF19"	"transcription factor 19"
