"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"7916526"	"0.0243"	"0.00000134"	"5.8632863"	"4.6720554"	"0.48751749"	"C8B"	"complement component 8, beta polypeptide"
"8092230"	"0.0243"	"0.00000174"	"-5.7758946"	"4.4621367"	"-1.03600724"	"ZMAT3"	"zinc finger matrin-type 3"
"7955637"	"0.0243"	"0.00000279"	"-5.6176018"	"4.0804163"	"-0.59427282"	"KRT18"	"keratin 18"
"8036881"	"0.0243"	"0.00000292"	"5.6027129"	"4.0444222"	"0.50080611"	""	""
"8083000"	"0.0378"	"0.00000668"	"-5.3248527"	"3.3704202"	"-0.56690849"	"FAIM"	"Fas apoptotic inhibitory molecule"
"7969574"	"0.0378"	"0.00000681"	"-5.3183645"	"3.3546391"	"-0.5791536"	"MIR622///KRT18"	"microRNA 622///keratin 18"
"8145736"	"0.0556"	"0.00001191"	"-5.1308981"	"2.8981229"	"-1.15610521"	"NRG1"	"neuregulin 1"
"7929032"	"0.0556"	"0.00001488"	"-5.056086"	"2.7157428"	"-0.61021615"	"FAS"	"Fas cell surface death receptor"
"8127854"	"0.0556"	"0.00001812"	"-4.9898599"	"2.5542584"	"-1.06908146"	"ME1"	"malic enzyme 1"
"8112202"	"0.0556"	"0.00001987"	"-4.9588722"	"2.4786975"	"-0.58769436"	"PLK2"	"polo like kinase 2"
"7899244"	"0.0556"	"0.00002103"	"4.9397738"	"2.4321295"	"0.37263284"	"PIGV"	"phosphatidylinositol glycan anchor biosynthesis class V"
"7913357"	"0.0556"	"0.00002115"	"4.9377454"	"2.4271839"	"0.34029827"	"ECE1"	"endothelin converting enzyme 1"
"8066822"	"0.0556"	"0.0000217"	"-4.9291155"	"2.4061423"	"-1.00838215"	"SULF2"	"sulfatase 2"
"7964142"	"0.0572"	"0.00002406"	"4.8943124"	"2.3212922"	"0.73602146"	"APOF"	"apolipoprotein F"
"7985829"	"0.059"	"0.00002767"	"-4.8472388"	"2.2065519"	"-0.65264759"	"FANCI"	"Fanconi anemia complementation group I"
"8145766"	"0.059"	"0.00002835"	"-4.8390249"	"2.1865347"	"-1.29508279"	"NRG1"	"neuregulin 1"
"7952953"	"0.0626"	"0.00003314"	"-4.7862376"	"2.0579275"	"-0.24584706"	"WNK1"	"WNK lysine deficient protein kinase 1"
"8104079"	"0.0626"	"0.00003385"	"-4.7790852"	"2.0405073"	"-1.02290005"	"FAT1"	"FAT atypical cadherin 1"
"8040547"	"0.0628"	"0.00003585"	"-4.7596744"	"1.9932383"	"-0.35512949"	""	""
"8167930"	"0.0716"	"0.00004303"	"4.6978824"	"1.8428436"	"0.56564325"	"FAAH2"	"fatty acid amide hydrolase 2"
"8019842"	"0.0761"	"0.000048"	"-4.6608101"	"1.7526837"	"-1.30119808"	"TYMS"	"thymidylate synthetase"
"8152133"	"0.0776"	"0.00005127"	"-4.6384453"	"1.6983213"	"-0.5304093"	"RRM2B"	"ribonucleotide reductase regulatory TP53 inducible subunit M2B"
"7963567"	"0.0812"	"0.0000561"	"-4.607858"	"1.6240112"	"-0.59531274"	"KRT8"	"keratin 8"
"7955063"	"0.0824"	"0.00006343"	"-4.5660759"	"1.5225834"	"-0.47158217"	"TMEM106C"	"transmembrane protein 106C"
"7982889"	"0.0824"	"0.00006399"	"-4.5630757"	"1.5153041"	"-0.52386902"	"NUSAP1"	"nucleolar and spindle associated protein 1"
"7906458"	"0.0824"	"0.00006645"	"4.5502426"	"1.4841736"	"0.29392829"	"APCS"	"amyloid P component, serum"
"7933933"	"0.0824"	"0.00007124"	"4.5265306"	"1.4266791"	"0.50862718"	"DNAJC12"	"DnaJ heat shock protein family (Hsp40) member C12"
"8122773"	"0.0824"	"0.00007152"	"-4.525183"	"1.4234126"	"-0.3608596"	"MTHFD1L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like"
"8141127"	"0.0824"	"0.00007173"	"-4.52422"	"1.4210784"	"-0.63677667"	"C7orf76"	"chromosome 7 open reading frame 76"
"7896044"	"0.0853"	"0.00007682"	"-4.5008508"	"1.3644542"	"-0.37908394"	""	""
"8053417"	"0.1166"	"0.00011197"	"-4.3719704"	"1.0528926"	"-0.56196409"	"CAPG"	"capping actin protein, gelsolin like"
"7985767"	"0.1166"	"0.00011299"	"-4.3688721"	"1.0454194"	"-0.52886506"	"AEN"	"apoptosis enhancing nuclease"
"8060963"	"0.1166"	"0.00011828"	"-4.3531659"	"1.0075482"	"-0.51954402"	"SNAP25"	"synaptosome associated protein 25"
"8102247"	"0.1166"	"0.00012001"	"4.3481844"	"0.9955414"	"0.57458999"	"RPL34-AS1"	"RPL34 antisense RNA 1 (head to head)"
"8088106"	"0.1166"	"0.00012257"	"-4.3409321"	"0.9780653"	"-0.46780884"	"TKT"	"transketolase"
"7893539"	"0.12"	"0.00012979"	"-4.3212819"	"0.9307386"	"-0.72595378"	""	""
"8119088"	"0.1385"	"0.00015396"	"-4.262497"	"0.7893848"	"-0.90025435"	"CDKN1A"	"cyclin dependent kinase inhibitor 1A"
"7954604"	"0.1629"	"0.00018608"	"-4.1970658"	"0.6324829"	"-0.4126998"	"KLHL42"	"kelch like family member 42"
"8091432"	"0.1629"	"0.00019092"	"-4.1881715"	"0.6111924"	"-0.44541969"	"COMMD2"	"COMM domain containing 2"
"8112376"	"0.1629"	"0.00019585"	"-4.1793582"	"0.5901049"	"-0.78996654"	"CENPK"	"centromere protein K"
"8022283"	"0.1629"	"0.00020115"	"-4.1701124"	"0.5679928"	"-0.56477308"	"PIEZO2"	"piezo type mechanosensitive ion channel component 2"
"8180376"	"0.1629"	"0.00020773"	"-4.1589606"	"0.5413362"	"-0.39212774"	"AKR1C1"	"aldo-keto reductase family 1 member C1"
"8136535"	"0.1629"	"0.00021968"	"4.1395601"	"0.4949994"	"0.37552422"	"FMC1"	"formation of mitochondrial complex V assembly factor 1 homolog"
"8151496"	"0.1629"	"0.00022589"	"-4.1298745"	"0.4718836"	"-0.29741787"	"ZNF704"	"zinc finger protein 704"
"7895873"	"0.1629"	"0.00022989"	"-4.1237852"	"0.4573573"	"-0.5215229"	""	""
"8097857"	"0.1629"	"0.00023084"	"-4.1223605"	"0.4539592"	"-0.46808369"	"MND1"	"meiotic nuclear divisions 1"
"7973371"	"0.1629"	"0.00023245"	"-4.1199392"	"0.4481847"	"-0.31935744"	"C14orf119"	"chromosome 14 open reading frame 119"
"7894186"	"0.1629"	"0.00023488"	"-4.1163261"	"0.4395696"	"-0.4692723"	""	""
"7997525"	"0.1753"	"0.00026308"	"4.0768845"	"0.3456368"	"0.30883032"	"MLYCD"	"malonyl-CoA decarboxylase"
"7994737"	"0.1753"	"0.00026328"	"-4.0766196"	"0.3450065"	"-0.23790139"	"ALDOA"	"aldolase, fructose-bisphosphate A"
"8160258"	"0.1774"	"0.00027273"	"4.0643297"	"0.3157813"	"0.63422854"	""	""
"7894416"	"0.1774"	"0.00027742"	"4.0583913"	"0.3016676"	"0.25861349"	""	""
"7972890"	"0.1774"	"0.00028233"	"4.0522688"	"0.2871214"	"0.43411059"	"GRTP1"	"growth hormone regulated TBC protein 1"
"8145532"	"0.1791"	"0.00029336"	"4.0388949"	"0.2553656"	"0.31277104"	"EPHX2"	"epoxide hydrolase 2"
"7996012"	"0.1791"	"0.000298"	"-4.0334191"	"0.2423711"	"-0.32630618"	"ARL2BP"	"ADP ribosylation factor like GTPase 2 binding protein"
"8025303"	"0.1791"	"0.00030127"	"4.0296074"	"0.2333282"	"0.98098157"	"CLEC4M"	"C-type lectin domain family 4 member M"
"7968563"	"0.1817"	"0.00031904"	"-4.0095769"	"0.185843"	"-0.43470218"	"RFC3"	"replication factor C subunit 3"
"7951341"	"0.1817"	"0.00031991"	"4.008624"	"0.1835855"	"0.33307253"	""	""
