ID	Symbol	adj.P.Val	logFC	P.Value
ILMN_1751607	FOSB	9.52205636201589e-21	4.68805470175439	1.62066520781834e-24
ILMN_1680618	MYC	2.21163968930134e-17	2.89341358004386	7.62509861407408e-21
ILMN_1794875	AGPAT9	2.29386179967812e-15	1.66496658552632	1.32742113199197e-18
ILMN_1673566	ADAMTS1	7.43079017084096e-15	2.43198143421053	5.63969924892379e-18
ILMN_3239861	C10orf140	5.48513964845677e-12	-2.3383869375	1.02693495137394e-14
ILMN_1701111	RP5-1022P6.2	1.05932941996865e-11	0.818384805921063	2.23570902536189e-14
ILMN_1682717	IER3	3.30476677836706e-11	1.83124726864035	8.21213789089409e-14
ILMN_1674411	CKAP2	3.78368400636673e-10	-1.44376573903509	1.42965219289481e-12
ILMN_2297626	PEG10	3.88810467826688e-10	-2.14570227850877	1.48234239018923e-12
ILMN_1801216	S100P	6.64749222065048e-10	2.04067425548246	2.78327107308442e-12
ILMN_1771841	FOSL1	9.534043316466e-10	2.41090579057018	4.2514881521498e-12
ILMN_3241798	SNORA41	1.34378893689477e-09	1.31099548464913	6.17529041361591e-12
ILMN_1748751	NLF2	1.58715846320201e-09	2.03794501535088	7.50978746587738e-12
ILMN_1740466	FAM46A	8.77826048574553e-09	0.526810658991236	5.6774670398327e-11
ILMN_1654737	TRIM32	1.63162380713866e-08	-0.673042223684208	1.23878724335415e-10
ILMN_1805481	TRMT11	2.09084097810155e-08	0.70775000000001	1.65120709030725e-10
ILMN_1790317	RAB26	2.10453152855293e-08	-1.21678933991228	1.66918285104957e-10
ILMN_1775257	PROK2	2.37596723769343e-08	1.97648114364036	1.94917147524974e-10
ILMN_2383290	TRIM14	2.43239766357342e-08	-1.65466289517543	2.0037452244435e-10
ILMN_1789781	PIM3	3.05100408060445e-08	1.36467766666667	2.61719381935637e-10
ILMN_1781986	UCRC	4.29349736503816e-08	-0.64029616666666	3.91686453290066e-10
ILMN_1715508	NNMT	4.60821385931686e-08	0.977222293859661	4.36776072619419e-10
ILMN_2096747	SNORA33	5.18989011615994e-08	0.831817133771937	5.10562087200948e-10
ILMN_1811535	JUB	5.44149860444766e-08	-1.44177229057017	5.40871291315899e-10
ILMN_1664511	NDC80	7.08817907418133e-08	-0.942126740131579	7.43152518925639e-10
ILMN_1804834	C6orf130	8.36726550553455e-08	-0.72578948135965	9.48462883665114e-10
ILMN_1699489	TUBB6	8.84989788215478e-08	1.43569298135965	1.01823381698891e-09
ILMN_1697469	SFRS6	1.04267913585243e-07	0.401494885964919	1.2422565188697e-09
ILMN_3245893	SNORA1	1.09098470475268e-07	1.05718889364036	1.30454295172162e-09
ILMN_3268472	CCL14	1.60069796189325e-07	-1.47031014144736	1.99455925058416e-09
ILMN_1675939	IFNGR1	1.72587491020736e-07	0.505180005482456	2.19721964944532e-09
ILMN_1651987	C6orf129	2.66666825087268e-07	-1.22505703179824	3.83066345055067e-09
ILMN_1659122	KLF10	2.96011571010479e-07	0.792887243421056	4.33281055024359e-09
ILMN_1688162	SLC12A1	3.07730627918522e-07	-1.6858516004386	4.52529636316851e-09
ILMN_1715715	CEBPA	3.10227920854636e-07	-1.73542794517544	4.58614869883579e-09
ILMN_1712718	BPNT1	3.13714344228763e-07	-0.387644077850874	4.69872047726642e-09
ILMN_1760227	CASP4	3.30258671761687e-07	1.47953662061404	5.09266359083787e-09
ILMN_1779706	TP53BP2	4.04042369017678e-07	0.772123225877197	6.44885597278179e-09
ILMN_1746578	SLC23A2	4.16901203480316e-07	0.532568561403513	6.71253937591278e-09
ILMN_1771689	EXD2	5.94640881520467e-07	-0.509955919956138	1.03637584279702e-08
ILMN_1678268	VPS8	6.24941875564418e-07	-0.781553088815786	1.09769550257426e-08
ILMN_1662801	ZMYM3	7.0705212669435e-07	-0.812343168859645	1.27298120560817e-08
ILMN_1801697	C19orf46	7.64318937592015e-07	-0.792349959429815	1.40495022057966e-08
ILMN_2155708	TLR3	7.78587027033689e-07	-1.17790664254385	1.4436902445839e-08
ILMN_1782953	MMP19	7.95490892507348e-07	1.48162122916667	1.49203622484103e-08
ILMN_2197519	ZNF627	8.20277592918394e-07	-0.670043547149117	1.55040671181963e-08
ILMN_1683990	C1orf89	8.57303168060864e-07	-0.78701980592105	1.63715518018227e-08
ILMN_1796235	CIRH1A	8.60284829884895e-07	0.44956274451755	1.64577756202237e-08
ILMN_1741572	AKAP8	8.67594793443259e-07	0.337413146929828	1.66271528307368e-08
ILMN_1683065	C2orf64	1.09975768024479e-06	-0.349091756578943	2.22369902326788e-08
ILMN_1651902	RASL11A	1.22515680576186e-06	0.919353925438601	2.5481526647394e-08
ILMN_1789094	NINL	1.2483361713896e-06	-1.2954779375	2.61452148615744e-08
ILMN_1780197	TBC1D24	1.25814510354928e-06	-0.70940292324561	2.65530845287317e-08
ILMN_2135527	DEPDC4	1.33443560203772e-06	-0.642987384868416	2.82994648898627e-08
ILMN_1761148	TRMT11	1.43496593319714e-06	0.849520123903515	3.07244978037582e-08
ILMN_3248562	SNORD49A	1.95042395734422e-06	0.911414567982458	4.47630936246309e-08
ILMN_1654262	ZMAT3	1.95042395734422e-06	-1.07510527741228	4.48815942800386e-08
ILMN_2383727	ATG4C	2.05625466883402e-06	-0.492238484649118	4.81568305871194e-08
ILMN_1797391	SLC22A7	2.49155151550292e-06	-1.39280481798245	6.03020433510086e-08
ILMN_1688295	ZNF219	2.55445917959394e-06	-1.00157851973684	6.22593448136046e-08
ILMN_1728957	ANKRD5	2.60601007575626e-06	-1.01734364802631	6.37819125325509e-08
ILMN_1815326	CCDC68	2.71359212030484e-06	0.654827049342117	6.68768320489058e-08
ILMN_2341626	March 8	3.31138051167762e-06	-0.664884587719291	8.63436522430832e-08
ILMN_1751016	LONRF2	3.37631907497531e-06	1.06457369627193	8.82667750138217e-08
ILMN_2217212	ZNF564	3.47606559195018e-06	-0.584373173245606	9.20012691286988e-08
ILMN_1758864	VNN2	3.59978347935128e-06	1.04592868969299	9.57017700028372e-08
ILMN_1785252	SLC26A6	3.64607045187924e-06	-0.763482177631571	9.70564418888778e-08
ILMN_1790315	C7orf63	3.65141390503853e-06	0.787667357456151	9.75715667173383e-08
ILMN_1679267	TGM2	3.6954928487494e-06	1.26429687828948	9.92526077429034e-08
ILMN_1657148	C19orf23	3.76679815554593e-06	2.07070237390352	1.01295930247516e-07
ILMN_1683175	C9orf23	4.24805424059251e-06	-0.779591330043855	1.16625917324803e-07
ILMN_1778523	KLF9	4.24805424059251e-06	0.391709300438601	1.16696046980909e-07
ILMN_3245684	C12orf27	4.3182301456113e-06	-1.06680361403508	1.19637750619167e-07
ILMN_1681503	MCM2	4.5916777592758e-06	-0.923374255482452	1.28480073463073e-07
ILMN_1681591	PTPN1	4.78816107310766e-06	0.556343188596493	1.35089837839466e-07
ILMN_1766247	ZBTB2	4.83812554419241e-06	0.484332343201757	1.37352238276763e-07
ILMN_2325978	HDGF2	5.12357756670268e-06	-0.741989748903503	1.4686520975165e-07
ILMN_1689004	TNFRSF12A	5.20192894744071e-06	1.82906546929825	1.49628279286088e-07
ILMN_2115553	THAP2	5.34112975898506e-06	-0.93411588048245	1.54458115913134e-07
ILMN_2234710	C12orf60	6.00318239982515e-06	-0.623238653508764	1.79374658781366e-07
ILMN_1781173	HDAC9	6.17489418616478e-06	-0.785905649122805	1.85856103532454e-07
ILMN_1710284	HES1	6.2975765674954e-06	0.632979214912289	1.90790180926266e-07
ILMN_2203891	SMAD7	6.32472887208435e-06	-0.803519131578943	1.92258667759517e-07
ILMN_1709674	GFPT2	6.94897018496155e-06	1.53836206578947	2.16438292515908e-07
ILMN_1712159	AVPR1A	7.03159360858494e-06	1.62810815131579	2.20112453306783e-07
ILMN_1752213	TMEM60	7.03159360858494e-06	-0.52507123355263	2.20208534564392e-07
ILMN_1728445	IGFBP1	7.46906734042635e-06	1.41656107456141	2.38993882969696e-07
ILMN_2319000	MATK	8.96453579179412e-06	-0.835045268640343	3.01187896194329e-07
ILMN_1703244	MAP1LC3B	9.17372207937197e-06	0.872825351973686	3.11338833547805e-07
ILMN_1803528	LRRC31	1.04062693205889e-05	-1.17615270175438	3.62447981138437e-07
ILMN_1669553	UBE2E3	1.05008423096986e-05	-0.561174517543856	3.67102326720238e-07
ILMN_1684439	MLF1	1.11581686110023e-05	1.17517183442983	3.93120621996372e-07
ILMN_2060212	TBC1D24	1.12534064419915e-05	-0.694624263157889	3.98035018072258e-07
ILMN_1673681	SLC46A1	1.13323526290814e-05	-0.616350884868417	4.02343458900907e-07
ILMN_1812701	C4orf33	1.20060745661072e-05	-0.676951858552627	4.29941465893209e-07
ILMN_2289825	ARPP-21	1.20339888834572e-05	-0.939375650219294	4.31594164866513e-07
ILMN_1731688	KLB	1.2118417218061e-05	-0.764345650219292	4.36852089523321e-07
ILMN_1769876	TBC1D2	1.23668563349511e-05	-0.776473138157886	4.5001768124937e-07
ILMN_1663381	TRAF3IP2	1.29838516034863e-05	0.632847479166672	4.78074658213165e-07
ILMN_2333319	PTBP1	1.37894120510071e-05	0.357356268640364	5.12109764361531e-07
ILMN_1767349	ABCB4	1.41641023393953e-05	-0.524822458333329	5.31810766257718e-07
ILMN_1757978	FLJ20309	1.46769934347304e-05	0.578608695175438	5.57562878209455e-07
ILMN_1708890	RASSF4	1.5710408054342e-05	-0.60696382236841	6.04842955695301e-07
ILMN_1689578	TLR3	1.65556920786898e-05	-0.726300849780698	6.43021569996429e-07
ILMN_2106265	GDPD1	1.65914706355319e-05	-0.700338877192978	6.45540761017565e-07
ILMN_1778360	PYGB	1.78541365814563e-05	-0.589265620614031	7.06961151146104e-07
